saleid,parcelid,parcel_level_latitude,parcel_level_longitude
100082.0,1,30.6859,-87.5359
100142.0,1,31.2374,-87.6543
100148.0,1,30.7008,-87.6589
100151.0,1,30.8717,-87.6485
100154.0,1,30.7066,-87.5466
100155.0,1,30.3722,-87.5285
100156.0,1,30.7847,-87.8878
100161.0,1,30.7912,-87.8789
100162.0,1,30.7902,-87.8772
100168.0,1,30.6425,-87.6591
100172.0,1,30.4746,-87.6431
100175.0,1,30.9792,-87.6282
100177.0,1,30.9794,-87.8382
100179.0,1,30.6605,-87.5563
100183.0,1,31.0657,-87.6937
100184.0,1,30.6166,-87.6122
100185.0,1,30.6161,-87.6146
100186.0,1,30.4745,-87.757
100187.0,1,30.3813,-87.537
100190.0,1,31.0886,-87.6344
100194.0,1,31.0825,-87.679
100197.0,1,30.7186,-87.5923
100198.0,1,30.4893,-87.4817
100199.0,1,30.5877,-87.6094
100202.0,1,30.8057,-87.8232
100203.0,1,30.4523,-87.8413
100205.0,1,30.8452,-87.8849
100209.0,1,31.3002,-87.7193
100211.0,1,30.5135,-87.5187
100212.0,1,30.5199,-87.5261
100215.0,1,30.655,-87.451
100222.0,1,31.0772,-87.8187
100223.0,1,30.8431,-87.6909
100224.0,1,30.8396,-87.8952
100225.0,1,30.623,-87.6096
100227.0,1,31.0684,-87.6809
100233.0,1,31.0768,-87.813
100237.0,1,31.0132,-87.7379
100240.0,1,30.9753,-87.6277
100243.0,1,30.522,-87.633
100246.0,1,30.8908,-87.6393
100247.0,1,31.0223,-87.8052
100250.0,1,30.7125,-87.5411
100252.0,1,30.9237,-87.621
100254.0,1,31.0031,-87.7357
100256.0,1,30.6279,-87.6439
100261.0,1,30.9598,-87.654
100269.0,1,30.4757,-87.5655
100272.0,1,30.7244,-87.5416
100273.0,1,30.4628,-87.5109
100280.0,1,31.0734,-87.8584
100290.0,1,30.8384,-87.8803
100294.0,1,31.0279,-87.7618
100298.0,1,30.4767,-87.5743
100302.0,1,31.0329,-87.7141
100305.0,1,31.0065,-87.6534
100309.0,1,31.0088,-87.7191
100312.0,1,31.0246,-87.8099
100313.0,1,30.9877,-87.6872
100314.0,1,30.591,-87.5851
100316.0,1,30.7887,-87.8947
100317.0,1,30.9917,-87.7709
100318.0,1,30.9988,-87.8
100319.0,1,30.9918,-87.7831
100324.0,1,31.0968,-87.7039
100326.0,1,30.6842,-87.6082
100329.0,1,31.2462,-87.7348
100330.0,1,30.4995,-87.7787
100333.0,1,30.6637,-87.5412
100334.0,1,30.666,-87.5412
100335.0,1,30.6533,-87.5493
100342.0,1,30.8207,-87.8315
100343.0,1,31.0993,-87.6439
100353.0,1,30.9536,-87.8333
100354.0,1,30.9459,-87.6174
100355.0,1,30.4884,-87.6258
100356.0,1,30.579,-87.5331
100357.0,1,31.0769,-87.8141
100360.0,1,31.0201,-87.8134
100361.0,1,30.9333,-87.6145
100370.0,1,30.8451,-87.8871
100372.0,1,31.0141,-87.6689
100381.0,1,30.6603,-87.4658
100382.0,1,30.7523,-87.8125
100383.0,1,30.7736,-87.8563
100394.0,1,30.989,-87.7359
100398.0,1,31.0446,-87.796
100402.0,1,31.1581,-87.7708
100404.0,1,31.0573,-87.6978
100406.0,1,31.0169,-87.7063
100411.0,1,31.0692,-87.8095
100415.0,1,31.0826,-87.6402
100421.0,1,30.4949,-87.6214
100425.0,1,30.6386,-87.5838
100426.0,1,30.9792,-87.6823
100427.0,1,31.0798,-87.8336
100428.0,1,31.0095,-87.7319
100433.0,1,30.5154,-87.5429
100435.0,1,30.7861,-87.7592
100438.0,1,30.9755,-87.6823
100440.0,1,30.9792,-87.676
100443.0,1,31.0023,-87.7958
100444.0,1,31.1605,-87.8159
100445.0,1,31.0222,-87.676
100448.0,1,30.938,-87.6197
100458.0,1,31.0447,-87.8414
100463.0,1,30.6111,-87.5319
100465.0,1,30.8149,-87.7251
100472.0,1,30.4515,-87.8302
100475.0,1,30.6315,-87.5977
100480.0,1,31.1072,-87.7451
100481.0,1,30.6216,-87.4231
100483.0,1,31.0375,-87.8484
100485.0,1,30.8158,-87.8427
100489.0,1,30.8672,-87.8669
100490.0,1,31.2229,-87.7146
100491.0,1,30.9806,-87.6124
100493.0,1,30.7175,-87.7228
100496.0,1,30.978,-87.7065
100501.0,1,30.8526,-87.8504
100508.0,1,30.6747,-87.6083
100511.0,1,30.7612,-87.7717
100512.0,1,30.9781,-87.7639
100517.0,1,30.9869,-87.7618
100518.0,1,30.9868,-87.7746
100526.0,1,30.9319,-87.637
100528.0,1,30.7188,-87.5668
100530.0,1,30.8684,-87.6982
100531.0,1,30.4819,-87.4994
100532.0,1,30.9952,-87.7831
100533.0,1,30.6716,-87.6643
100535.0,1,30.6678,-87.5455
100536.0,1,30.6714,-87.6734
100541.0,1,30.5039,-87.4868
100542.0,1,30.8382,-87.9027
100545.0,1,31.0105,-87.763
100546.0,1,30.3877,-87.5752
100547.0,1,30.5343,-87.5412
100553.0,1,30.7031,-87.5966
100555.0,1,30.9805,-87.6618
100559.0,1,31.2228,-87.6737
100560.0,1,31.0721,-87.839
100564.0,1,30.8671,-87.8538
100568.0,1,30.4703,-87.775
100571.0,1,30.5296,-87.5214
100574.0,1,31.0519,-87.7107
100577.0,1,31.0059,-87.7577
100589.0,1,30.978,-87.6986
100591.0,1,31.0687,-87.805
100594.0,1,30.4272,-87.5413
100597.0,1,31.0113,-87.6745
100599.0,1,30.7045,-87.6632
100601.0,1,31.037,-87.8151
100603.0,1,30.4604,-87.7667
100604.0,1,30.8938,-87.8505
100605.0,1,31.0081,-87.8703
100606.0,1,31.0454,-87.8532
100607.0,1,31.064,-87.6795
100609.0,1,31.0766,-87.8123
100610.0,1,31.1745,-87.7015
100611.0,1,31.0666,-87.6841
100613.0,1,30.4786,-87.5974
100615.0,1,31.0313,-87.7999
100619.0,1,31.0024,-87.7319
100620.0,1,30.6807,-87.5551
100623.0,1,30.5212,-87.5063
100625.0,1,30.9674,-87.7052
100627.0,1,30.4309,-87.519
100630.0,1,30.723,-87.5414
100631.0,1,31.0393,-87.807
100633.0,1,30.877,-87.6319
100635.0,1,30.9858,-87.6711
100637.0,1,31.0187,-87.8568
100640.0,1,30.9746,-87.6855
100644.0,1,30.4188,-87.5289
100648.0,1,30.9789,-87.7569
100649.0,1,30.6201,-87.5934
100650.0,1,30.9636,-87.5947
100651.0,1,31.0438,-87.685
100652.0,1,31.1113,-87.7925
100654.0,1,30.7862,-87.8775
100655.0,1,30.8678,-87.6791
100658.0,1,30.9948,-87.6757
100659.0,1,30.8713,-87.6526
100667.0,1,30.7254,-87.535
100669.0,1,30.6859,-87.5377
100670.0,1,30.7114,-87.585
100671.0,1,30.4929,-87.4817
100677.0,1,30.6788,-87.5315
100680.0,1,30.7081,-87.66
100685.0,1,31.1006,-87.8064
100686.0,1,31.0609,-87.8289
100689.0,1,31.1628,-87.775
100692.0,1,30.3824,-87.8198
100694.0,1,30.6568,-87.5921
100699.0,1,30.9964,-87.6758
100701.0,1,30.6612,-87.6449
100702.0,1,30.418,-87.8884
100705.0,1,30.8469,-87.8608
100706.0,1,30.9482,-87.602
100708.0,1,30.6849,-87.6213
100710.0,1,30.9347,-87.6327
100713.0,1,30.9492,-87.6626
100714.0,1,30.7299,-87.5417
100716.0,1,31.2027,-87.7617
100720.0,1,31.0114,-87.8559
100721.0,1,31.0027,-87.8588
100726.0,1,30.9792,-87.7015
100731.0,1,31.1073,-87.8112
100734.0,1,30.589,-87.5331
100735.0,1,30.8257,-87.859
100738.0,1,30.4788,-87.4538
100740.0,1,30.4966,-87.543
100744.0,1,30.8469,-87.6717
100749.0,1,30.8675,-87.6811
100756.0,1,30.8783,-87.6885
100788.0,1,31.9114,-85.5639
100789.0,1,31.794,-85.651
100794.0,1,33.0749,-87.2094
100795.0,1,33.0798,-86.9841
100796.0,1,33.0528,-86.9632
100799.0,1,33.018,-87.2387
100803.0,1,33.0037,-87.0129
100810.0,1,32.8635,-86.9903
100816.0,1,33.0042,-87.0315
